City_ID,city,latitude,longitude,max temp,city humidity,cloudiness,wind speed,country,date
481,hrib-loski potok,45.7011,14.5911,41.41,94,100,4.76,SI,1710201133
482,kalamansig,6.5519,124.0511,82.36,53,51,2.75,PH,1710201133
483,abilene,32.4487,-99.7331,71.82,33,0,17.27,US,1710201133
484,sungailiat,-1.85,106.1333,79.25,87,99,10.04,ID,1710201134
485,richards bay,-28.783,32.0377,73.36,96,47,6.6,ZA,1710201134
486,qamdo,31.1667,97.2333,22.37,50,96,6.22,CN,1710201134
487,erdenet,49.0333,104.0833,10.13,87,89,3.24,MN,1710201134
488,fort mcmurray,56.7268,-111.381,38.79,56,0,5.75,CA,1710200916
489,kodinsk,58.6881,99.1844,19.44,97,100,3.98,RU,1710201135
490,princeville,45.7668,-61.2985,34.92,95,100,11.5,CA,1710201135
491,port antonio,18.18,-76.4612,85.91,71,0,2.98,JM,1710201136
492,las khorey,11.1595,48.1967,81.03,71,4,6.76,SO,1710201136
493,formosa do rio preto,-11.0483,-45.1931,77.2,66,54,1.03,BR,1710201136
494,baykal'sk,51.5058,104.1469,24.1,85,61,6.35,RU,1710201137
495,pangody,65.85,74.4859,-24.95,100,99,4.23,RU,1710201137
496,neiafu,-18.65,-173.9833,83.08,89,100,11.5,TO,1710201138
497,cill airne,52.05,-9.5167,52.83,95,100,13.67,IE,1710201138
498,fyodorovka,53.6314,62.7078,1.65,98,98,4.83,KZ,1710201138
499,crane,31.3974,-102.3501,72.03,25,46,14.18,US,1710201139
500,booue,-0.0921,11.9385,75.63,96,63,3.27,GA,1710201139
501,malkerns,-26.5667,31.1833,67.17,95,95,1.43,SZ,1710201139
502,jashpurnagar,22.9,84.15,64.49,37,0,5.68,IN,1710201140
503,nieuw amsterdam,5.8833,-55.0833,82.56,74,20,4.61,SR,1710201141
504,luanco,43.6152,-5.7934,53.58,83,83,4.0,ES,1710201141
505,box elder,41.5005,-112.8764,48.9,48,66,5.1,US,1710201141
506,tsiombe,-25.3,45.4833,75.78,92,93,4.7,MG,1710201142
507,jaru,-10.4389,-62.4664,79.27,88,97,0.89,BR,1710201142
508,quarai,-30.3875,-56.4514,76.1,54,0,12.15,BR,1710200957
509,kralendijk,12.15,-68.2667,82.38,78,40,16.11,BQ,1710201142
510,goldap,54.3063,22.3036,36.72,67,100,15.61,PL,1710201143
511,barrouallie,13.2333,-61.2667,78.42,83,40,6.91,VC,1710201143
512,rouissat,31.9243,5.3502,61.52,28,63,9.6,DZ,1710201143
513,hastings,50.8552,0.5729,46.8,88,100,9.93,GB,1710201143
514,durgapur,23.4833,87.3167,71.76,25,0,2.08,IN,1710201144
515,tarumovka,44.0761,46.5361,29.71,59,30,6.85,RU,1710201144
516,oranjemund,-28.55,16.4333,61.59,97,28,5.48,NA,1710201144
517,chasong,41.4608,126.6414,30.87,68,68,1.88,KP,1710201145
518,mangrol,21.1167,70.1167,72.86,72,0,10.27,IN,1710201145
519,krasnyy chikoy,50.3643,108.7512,11.98,94,62,1.32,RU,1710201145
520,la voulte-sur-rhone,44.8007,4.7716,47.97,88,73,6.35,FR,1710201145
521,floro,61.5996,5.0328,39.27,65,100,8.05,NO,1710201146
522,coaticook,45.1334,-71.7991,31.82,93,100,17.78,CA,1710201146
523,nizhneangarsk,55.7833,109.55,14.0,94,99,3.0,RU,1710201146
524,homer,59.6425,-151.5483,30.07,76,75,5.75,US,1710200851
525,griffith,41.5284,-87.4237,64.26,42,0,16.11,US,1710201146
526,orsa,54.5153,30.4053,27.19,61,21,6.06,BY,1710201147
527,cabo san lucas,22.8909,-109.9124,79.61,64,100,9.22,MX,1710201147
528,as sanamayn,33.0723,36.1838,42.48,43,0,5.35,SY,1710201147
529,keetmanshoop,-26.5833,18.1333,80.44,23,9,5.61,NA,1710201148
530,yatou,37.15,122.3833,40.21,70,53,17.13,CN,1710201148
531,aldan,58.6031,125.3894,14.86,92,100,7.52,RU,1710201148
532,ahus,55.9167,14.2833,37.0,97,100,12.66,SE,1710201148
533,sangueya,10.7,-14.3667,72.99,82,12,3.6,GN,1710201149
534,spring creek,40.7266,-115.5859,49.82,54,70,4.0,US,1710201149
535,peruibe,-24.32,-46.9983,73.18,84,21,3.4,BR,1710201149
536,erie,42.7667,-78.6664,38.21,68,73,5.01,US,1710201013
537,carnota,42.8233,-9.0891,53.74,94,98,5.55,ES,1710201150
538,ciudad lazaro cardenas,17.9583,-102.2,80.94,55,0,9.06,MX,1710201150
539,nouadhibou,20.931,-17.0347,69.78,60,100,12.66,MR,1710201151
540,flekkefjord,58.2971,6.6607,38.95,65,98,14.16,NO,1710201151
541,coquimbo,-29.9533,-71.3436,62.33,82,20,10.36,CL,1710201151
542,pizarro,4.9533,-77.366,79.63,89,81,2.8,CO,1710201152
543,taroudant,30.4703,-8.877,55.51,85,72,2.73,MA,1710201152
544,sao jose da coroa grande,-8.8978,-35.1478,82.9,81,34,10.2,BR,1710201152
545,tianchang,37.9981,114.0156,43.12,41,50,1.99,CN,1710201153
546,corral de bustos,-33.2821,-62.1846,77.36,92,75,6.91,AR,1710201153
547,nanlong,31.3533,106.0631,54.9,73,100,8.21,CN,1710201153
548,madimba,-10.4,40.3333,79.36,79,51,3.44,TZ,1710201153
549,dori,14.0354,-0.0345,89.6,11,39,8.05,BF,1710201154
550,intibuca,14.3167,-88.1667,71.33,60,20,4.61,HN,1710201154
551,luganville,-15.5333,167.1667,85.53,75,100,2.48,VU,1710201154
552,monrovia,6.3005,-10.7969,78.57,91,43,2.35,LR,1710201154
553,hasaki,35.7333,140.8333,48.6,58,100,19.44,JP,1710201155
554,inirida,3.8653,-67.9239,78.01,87,100,2.04,CO,1710201155
555,saint-philippe,-21.3585,55.7679,76.59,88,23,12.68,RE,1710201155
